sample_id,clause_text,toxic_clause_type,risk_level,clause_type,legal_basis,safe_counter_clause,rationale,source_page,source_kind,label_json
J001,"임차인은 계약 만료 6개월 전부터 3개월 전 사이에 서면으로 갱신 의사를 통보하여야 하며, 통보하지 않을 경우 계약은 자동 종료되고 임차인은 위약금을 부담한다.",묵시적 갱신 거부,높음,독소,"주택임대차보호법 제6조, 제6조의3",임차인 또는 임대인이 임대차 기간 만료 2개월 전까지 갱신 거절 통지를 하지 않으면 동일 조건으로 갱신된 것으로 본다.,자동 종료와 위약금 부과는 묵시적 갱신 제도를 배제해 강행규정에 반한다.,12,pdf_original,"{""toxic_clause_type"": ""묵시적 갱신 거부"", ""risk_level"": ""높음"", ""clause_type"": ""독소"", ""legal_basis"": ""주택임대차보호법 제6조, 제6조의3"", ""rationale"": ""자동 종료와 위약금 부과는 묵시적 갱신 제도를 배제해 강행규정에 반한다.""}"
J002,"계약 만료 후 임차인이 별도 통보 없이 거주를 계속할 경우, 임대인은 언제든지 계약 해지를 통보할 수 있으며 임차인은 즉시 퇴거하여야 한다.",묵시적 갱신 거부,높음,독소,주택임대차보호법 제6조의3,"묵시적 갱신 후 임차인은 언제든지 해지를 통보할 수 있으나, 임대인의 일방적 즉시 해지는 불가하다.",묵시적 갱신 이후 임대인의 즉시 해지를 허용해 임차인의 보호를 침해한다.,13,pdf_original,"{""toxic_clause_type"": ""묵시적 갱신 거부"", ""risk_level"": ""높음"", ""clause_type"": ""독소"", ""legal_basis"": ""주택임대차보호법 제6조의3"", ""rationale"": ""묵시적 갱신 이후 임대인의 즉시 해지를 허용해 임차인의 보호를 침해한다.""}"
J003,"이 계약은 기간 만료와 동시에 자동 종료되며, 임차인은 별도 통보 없이 만료일 이내에 퇴거하여야 한다.",묵시적 갱신 거부,중간,독소,주택임대차보호법 제6조,임대차 계약은 명시적 해지 통보가 없는 한 묵시적으로 갱신된다.,묵시적 갱신 자체를 배제하려는 조항으로 해석될 수 있다.,13,pdf_original,"{""toxic_clause_type"": ""묵시적 갱신 거부"", ""risk_level"": ""중간"", ""clause_type"": ""독소"", ""legal_basis"": ""주택임대차보호법 제6조"", ""rationale"": ""묵시적 갱신 자체를 배제하려는 조항으로 해석될 수 있다.""}"
J004,"임대인은 임대차 기간 중 2개월 전 서면 통보만으로 계약을 해지할 수 있으며, 임차인은 이에 이의를 제기할 수 없다.",임대인 일방 해지,높음,독소,주택임대차보호법 제4조,임대인은 임차인의 귀책사유 없이 임대차 기간 중 계약을 일방 해지할 수 없다.,계약기간 중 임대인의 일방 해지를 허용해 최소 2년 보장 취지에 반한다.,13,pdf_original,"{""toxic_clause_type"": ""임대인 일방 해지"", ""risk_level"": ""높음"", ""clause_type"": ""독소"", ""legal_basis"": ""주택임대차보호법 제4조"", ""rationale"": ""계약기간 중 임대인의 일방 해지를 허용해 최소 2년 보장 취지에 반한다.""}"
J005,임대인이 해당 주택에 실거주할 필요가 생긴 경우 1개월 전 통보로 계약을 해지할 수 있다.,임대인 일방 해지,높음,독소,"주택임대차보호법 제4조, 제6조의3","임대인의 실거주 사유 해지는 계약갱신요구권 행사 시에만 제한적으로 인정되며, 기간 중 일방 해지는 불가하다.",기간 중 실거주 명목 해지를 넓게 허용해 임차인 보호에 반한다.,13,pdf_original,"{""toxic_clause_type"": ""임대인 일방 해지"", ""risk_level"": ""높음"", ""clause_type"": ""독소"", ""legal_basis"": ""주택임대차보호법 제4조, 제6조의3"", ""rationale"": ""기간 중 실거주 명목 해지를 넓게 허용해 임차인 보호에 반한다.""}"
J006,임대차 기간 중 발생하는 모든 시설 수리 및 유지보수 비용은 임차인이 전액 부담한다.,수리비 세입자 부담,높음,독소,민법 제623조,임대인은 임차인이 목적물을 사용·수익할 수 있도록 수선할 의무를 진다.,구조와 설비에 대한 수선의무까지 임차인에게 전가한다.,13,pdf_original,"{""toxic_clause_type"": ""수리비 세입자 부담"", ""risk_level"": ""높음"", ""clause_type"": ""독소"", ""legal_basis"": ""민법 제623조"", ""rationale"": ""구조와 설비에 대한 수선의무까지 임차인에게 전가한다.""}"
J007,보일러 및 냉난방 설비의 수리 및 교체 비용은 임차인이 부담한다.,수리비 세입자 부담,높음,독소,민법 제623조,보일러 등 핵심 설비 수선은 임대인의 의무이다.,핵심 설비의 수리비를 임차인에게 전가한 조항이다.,13,pdf_original,"{""toxic_clause_type"": ""수리비 세입자 부담"", ""risk_level"": ""높음"", ""clause_type"": ""독소"", ""legal_basis"": ""민법 제623조"", ""rationale"": ""핵심 설비의 수리비를 임차인에게 전가한 조항이다.""}"
J008,"임차인은 입주 시 상태를 유지할 의무가 있으며, 도배·장판 등 소모성 수리는 임차인이 부담한다.",수리비 세입자 부담,중간,독소,민법 제623조,"소모품 수준의 수리비 분담은 합의 가능하나, 범위가 명확하지 않으면 분쟁 소지가 있다.",소모품 수리 분담은 가능하나 범위가 모호해 임차인에게 불리하게 작용할 수 있다.,13,pdf_original,"{""toxic_clause_type"": ""수리비 세입자 부담"", ""risk_level"": ""중간"", ""clause_type"": ""독소"", ""legal_basis"": ""민법 제623조"", ""rationale"": ""소모품 수리 분담은 가능하나 범위가 모호해 임차인에게 불리하게 작용할 수 있다.""}"
J009,"임대인은 계약 종료 후 새로운 임차인이 입주한 이후에 보증금을 반환하며, 그 이전 지연에 대한 이자나 손해는 부담하지 않는다.",전세금 반환 지연 면책,높음,독소,주택임대차보호법 제3조의2,"임대인은 계약 종료일에 보증금을 반환할 의무가 있으며, 지연 시 이자를 부담한다.",후속 임차인 입주를 조건으로 반환 의무를 미루고 지연 책임도 면제한다.,13,pdf_original,"{""toxic_clause_type"": ""전세금 반환 지연 면책"", ""risk_level"": ""높음"", ""clause_type"": ""독소"", ""legal_basis"": ""주택임대차보호법 제3조의2"", ""rationale"": ""후속 임차인 입주를 조건으로 반환 의무를 미루고 지연 책임도 면제한다.""}"
J010,"보증금 반환은 임대인의 사정에 따라 계약 종료 후 최대 3개월 이내에 이루어질 수 있으며, 임차인은 이에 동의한다.",전세금 반환 지연 면책,높음,독소,주택임대차보호법 제3조의2,보증금은 계약 종료일에 즉시 반환되어야 한다.,임대인 사정을 이유로 반환 지연을 사전 동의시키는 조항이다.,13,pdf_original,"{""toxic_clause_type"": ""전세금 반환 지연 면책"", ""risk_level"": ""높음"", ""clause_type"": ""독소"", ""legal_basis"": ""주택임대차보호법 제3조의2"", ""rationale"": ""임대인 사정을 이유로 반환 지연을 사전 동의시키는 조항이다.""}"
J011,임대인은 임대차 기간 중 임차인의 동의 없이 해당 부동산에 근저당을 추가 설정할 수 있다.,근저당 특약,높음,독소,"주택임대차보호법 제3조, 제3조의2; HUG 안심전세 권장문구",임대차 기간 중 임대인은 임차인 동의 없이 선순위 채권을 추가 설정할 수 없다.,"대항력·우선변제권 보호 취지와 HUG 안전 특약 기준에 비추어, 추가 담보권 설정은 임차인을 후순위 위험에 놓이게 할 수 있다.",13,pdf_original,"{""toxic_clause_type"": ""근저당 특약"", ""risk_level"": ""높음"", ""clause_type"": ""독소"", ""legal_basis"": ""주택임대차보호법 제3조, 제3조의2; HUG 안심전세 권장문구"", ""rationale"": ""대항력·우선변제권 보호 취지와 HUG 안전 특약 기준에 비추어, 추가 담보권 설정은 임차인을 후순위 위험에 놓이게 할 수 있다.""}"
J012,"본 계약 체결 시 해당 부동산에 설정된 근저당 내역은 임차인이 확인하였으며, 이후 추가 설정에 대해서도 임차인은 이의를 제기하지 않는다.",근저당 특약,높음,독소,주택임대차보호법 제3조의2,"임대인은 선순위 근저당 내역을 고지할 의무가 있으며, 임차인은 추가 설정에 대해 이의 제기 권리를 포기할 수 없다.",미래의 추가 설정에 대한 포괄 동의를 강요해 임차인의 보호수단을 약화한다.,13,pdf_original,"{""toxic_clause_type"": ""근저당 특약"", ""risk_level"": ""높음"", ""clause_type"": ""독소"", ""legal_basis"": ""주택임대차보호법 제3조의2"", ""rationale"": ""미래의 추가 설정에 대한 포괄 동의를 강요해 임차인의 보호수단을 약화한다.""}"
J013,"임차인은 계약 기간 중 임대인의 서면 동의 없이 전대 또는 임차권을 양도할 수 없으며, 위반 시 즉시 계약 해지 및 위약금 500만 원을 납부한다.",특약사항,중간,독소,"민법 제629조, 제398조","임차인은 임대인의 동의 없이 전대할 수 없다. 단, 위약금 금액이 과도하거나 즉시 해지 조항은 별도 검토가 필요하다.","무단 전대 금지와 해지 자체는 가능하지만, 정액 위약금 500만원은 손해배상 예정 또는 위약벌로서 과도성이 문제될 수 있다.",13-14,pdf_original,"{""toxic_clause_type"": ""특약사항"", ""risk_level"": ""중간"", ""clause_type"": ""독소"", ""legal_basis"": ""민법 제629조, 제398조"", ""rationale"": ""무단 전대 금지와 해지 자체는 가능하지만, 정액 위약금 500만원은 손해배상 예정 또는 위약벌로서 과도성이 문제될 수 있다.""}"
J014,"임차인은 계약 종료 후 원상복구 의무를 지며, 임대인이 지정한 업체를 통해 복구하여야 하고 비용은 임차인이 전액 부담한다.",특약사항,중간,독소,"민법 제615조, 제654조","임차인은 통상 사용으로 인한 손모는 원상복구 의무가 없으며, 지정 업체 강제는 과도한 제한이다.",통상 손모까지 부담시키고 업체 선택권까지 박탈한다.,14,pdf_original,"{""toxic_clause_type"": ""특약사항"", ""risk_level"": ""중간"", ""clause_type"": ""독소"", ""legal_basis"": ""민법 제615조, 제654조"", ""rationale"": ""통상 손모까지 부담시키고 업체 선택권까지 박탈한다.""}"
