조문ID,조항번호,조항명,조문내용,관련_독소유형,위험도_등급,위험도_근거,AI_라벨링_신뢰도,비고
L001,제2조,적용범위,이 법은 주거용 건물(이하 '주택'이라 한다)의 전부 또는 일부의 임대차에 관하여 적용한다. 그 임차주택의 일부가 주거 외의 목적으로 사용되는 경우에도 또한 같다.,해당없음,초록,본 조문 자체는 보호 범위 설정 — 독소조항 탐지 기준선,높음,주거용 건물 여부 판단 기준
L002,제3조,대항력 등,임차인은 주택의 인도와 주민등록을 마친 때에는 그 다음 날부터 제3자에 대하여 효력이 생긴다. 이 경우 전입신고를 한 때에 주민등록이 된 것으로 본다.,전입신고 방해,빨강,임차인의 대항력 취득 방해하는 조항은 본 조문 위반 — 강행규정,높음,전입신고 방해 조항 탐지 핵심 근거 조문
L003,제3조의2,보증금의 회수,임차주택(대지를 포함한다)이 매매 또는 경매의 목적물이 된 경우에는 제8조의 규정에 의한 우선변제권을 가진 임차인은 임차주택의 경락대금(競落代金)에서 후순위권리자나 그 밖의 채권자보다 우선하여 보증금을 변제받을 권리가 있다.,보증금 일방 공제,빨강,보증금 일방 공제 조항은 본 조문의 임차인 우선변제권 취지에 반함,높음,깡통전세·전세사기 위험 탐지 핵심 조문
L004,제4조,임대차기간,"기간을 정하지 아니하거나 기간을 2년 미만으로 정한 임대차는 그 기간을 2년으로 본다. 다만, 임차인은 2년 미만으로 정한 기간이 유효함을 주장할 수 있다.",임대인 일방 해지,빨강,임대차 기간 중 임대인 일방 해지는 본 조문(최소 2년 보장)에 반함,높음,임대인 일방 해지 조항 무효 판단 근거
L005,제6조,계약의 갱신,임대인이 임대차기간이 끝나기 6개월 전부터 2개월 전까지의 기간에 임차인에게 갱신거절의 통지를 하지 아니하거나 계약조건을 변경하지 아니하면 갱신하지 아니한다는 뜻의 통지를 하지 아니한 경우에는 그 기간이 끝난 때에 전 임대차와 동일한 조건으로 다시 임대차한 것으로 본다.,묵시적 갱신 거부,빨강,묵시적 갱신 거절 위약금 조항은 본 조문의 임차인 갱신 보호 취지 위반,높음,묵시적 갱신 관련 독소조항 탐지 핵심 근거
L006,제6조의3,묵시적 갱신의 경우 계약의 해지,제6조제1항에 따라 계약이 갱신된 경우 임차인은 언제든지 임대인에게 계약해지를 통지할 수 있다. 임대인이 해지통지를 받은 날로부터 3개월이 지나면 그 효력이 발생한다.,묵시적 갱신 거부,빨강,묵시적 갱신 후 임차인 해지권 제한 조항은 본 조문 위반 — 강행규정,높음,자동 갱신 후 임차인 해지권 보장
L007,제7조,차임 등의 증감청구권,"당사자는 약정한 차임이나 보증금이 임차주택에 관한 조세, 공과금, 그 밖의 부담의 증감이나 경제사정의 변동으로 인하여 적절하지 아니하게 된 때에는 장래에 대하여 그 증감을 청구할 수 있다. 이 경우 증액청구는 대통령령으로 정하는 기준에 따른 비율을 초과하지 못한다.",임의 임대료 인상,빨강,법정 상한(현행 5%)을 초과하는 임대료 인상 조항은 본 조문 위반,높음,임대료 인상 상한 초과 독소조항 탐지 기준
L008,제8조,보증금 중 일정액의 보호,임차인은 보증금 중 일정액을 다른 담보물권자보다 우선하여 변제받을 권리가 있다. 이 경우 임차인은 주택에 대한 경매신청의 등기 전에 대항요건을 갖추어야 한다.,해당없음,초록,소액 임차인 최우선변제 보호 조항 — 세입자 보호 목적,높음,소액임차인 보호 기준 (지역별 상이)
L009,제10조,강행규정,이 법에 위반된 약정으로서 임차인에게 불리한 것은 효력이 없다.,전체 독소유형 해당,빨강,임차인에게 불리한 모든 약정의 무효 선언 — 독소조항 판단의 최종 근거 조문,높음,전체 독소조항 무효 판단 핵심 조문
L010,제12조,미등기 전세의 특례,주택의 등기를 하지 아니한 전세계약에 관하여는 이 법을 준용한다.,해당없음,초록,등기 없는 전세에도 본법 적용 — 등기 없는 상태에서의 세입자 보호,높음,미등기 전세 보호 범위
L011,제3조의3,임차권등기명령,임대차가 끝난 후 보증금을 반환받지 못한 임차인은 임차주택의 소재지를 관할하는 지방법원 지방법원지원 또는 시·군 법원에 임차권등기명령을 신청할 수 있다.,보증금 미반환,빨강,보증금 반환 거부 조항은 본 조문의 임차권등기명령 취지에 반함,높음,전세사기·깡통전세 피해자 구제 핵심 조문
L012,제6조의2,계약갱신 요구권,"임차인은 계약이 만료되기 6개월 전부터 2개월 전까지 사이에 계약갱신을 요구할 수 있다. 임대인은 정당한 사유 없이 이를 거절하지 못하며, 갱신 요구는 1회에 한하여 행사할 수 있다.",묵시적 갱신 거부,빨강,계약갱신요구권 행사를 제한하거나 1회를 초과하는 갱신 거절은 본 조문 위반,높음,2020.7.31. 신설. 세입자 계약갱신요구권 4+2년 보장
